#Site	Status	Area	Rep	Snails	Snail Biomass	Juvenile Fiddler Crabs	JFC Biomass	Adult Fiddler Crabs	AFC Biomass	Mussels	Mussel Recruits	Mussel Biomass	Mud Crabs	Mud Crab Biomass	Sesarma	Sesarma Biomass	InvertBiomass	Proportion Sesarma
PL	Grazed	Border	1	0	0	3	0.06	1	0.11	0	0	0	0	0	3	0.72	0.89	0.809
PL	Grazed	Border	2	0	0	2	0.04	0	0	0	0	0	0	0	3	0.72	0.76	0.947
PL	Grazed	Border	3	3	0.039	4	0.08	2	0.22	0	0	0	1	0.45	4	0.96	1.749	0.549
PL	Grazed	Border	4	0	0	8	0.16	0	0	0	0	0	0	0	3	0.72	0.88	0.818
PL	Grazed	Border	5	5	0.065	2	0.04	0	0	0	0	0	0	0	2	0.48	0.585	0.821
PL	Grazed	Border	6	0	0	2	0.04	1	0.11	0	0	0	0	0	3	0.72	0.87	0.828
PL	Grazed	Border	7	0	0	1	0.02	0	0	0	0	0	0	0	5	1.2	1.22	0.984
PL	Grazed	Border	8	0	0	0	0	1	0.11	0	0	0	1	0.45	3	0.72	1.28	0.563
SS	Grazed	Border	1	7	0.091	4	0.08	0	0	0	0	0	1	0.45	8	1.92	2.541	0.756
SS	Grazed	Border	2	1	0.013	7	0.14	1	0.11	0	0	0	1	0.45	14	3.36	4.073	0.825
SS	Grazed	Border	3	10	0.13	2	0.04	1	0.11	0	0	0	0	0	10	2.4	2.68	0.896
SS	Grazed	Border	4	4	0.052	6	0.12	2	0.22	1	0	0.55	0	0	9	2.16	3.102	0.696
SS	Grazed	Border	5	16	0.208	4	0.08	3	0.33	0	0	0	0	0	6	1.44	2.058	0.7
SS	Grazed	Border	6	10	0.13	1	0.02	3	0.33	0	0	0	0	0	12	2.88	3.36	0.857
SS	Grazed	Border	7	12	0.156	3	0.06	1	0.11	3	0	1.65	1	0.45	9	2.16	4.586	0.471
SS	Grazed	Border	8	0	0	5	0.1	2	0.22	0	0	0	1	0.45	8	1.92	2.69	0.714
AM	Grazed	Platform	1	30	0.39	4	0.08	1	0.11	0	0	0	0	0	0	0	0.58	0
AM	Grazed	Platform	2	43	0.559	1	0.02	2	0.22	0	0	0	0	0	0	0	0.799	0
AM	Grazed	Platform	3	41	0.533	0	0	1	0.11	0	0	0	0	0	0	0	0.643	0
AM	Grazed	Platform	4	32	0.416	0	0	1	0.11	0	0	0	0	0	0	0	0.526	0
AM	Grazed	Platform	5	55	0.715	1	0.02	0	0	2	0	1.1	2	0.9	0	0	2.735	0
AM	Grazed	Platform	6	28	0.364	0	0	0	0	0	0	0	0	0	0	0	0.364	0
AM	Grazed	Platform	7	54	0.702	0	0	3	0.33	0	0	0	0	0	0	0	1.032	0
AM	Grazed	Platform	8	23	0.299	2	0.04	1	0.11	8	1	4.95	0	0	0	0	5.399	0
BF	Grazed	Platform	1	0	0	2	0.04	1	0.11	0	0	0	1	0.45	1	0.24	0.84	0.286
